	bitscore
532	108.0
533	108.0
534	108.0
535	108.0
536	109.0
537	109.0
538	109.0
539	109.0
540	109.0
541	109.0
542	109.0
543	109.0
544	109.0
545	109.0
546	109.0
547	109.0
548	110.0
549	110.0
550	110.0
551	110.0
552	110.0
553	110.0
554	110.0
555	110.0
556	110.0
557	110.0
558	110.0
559	111.0
560	111.0
561	111.0
562	111.0
563	111.0
564	111.0
565	111.0
566	111.0
567	111.0
568	111.0
569	111.0
570	111.0
571	112.0
572	112.0
573	112.0
574	112.0
575	112.0
576	112.0
577	112.0
578	112.0
579	112.0
580	112.0
581	112.0
582	112.0
583	112.0
584	112.0
585	112.0
586	112.0
587	112.0
588	112.0
589	113.0
590	113.0
591	113.0
592	113.0
593	113.0
594	113.0
595	113.0
596	113.0
597	113.0
598	113.0
599	114.0
600	114.0
601	114.0
602	114.0
603	114.0
604	114.0
605	114.0
606	114.0
607	114.0
608	114.0
609	114.0
610	114.0
611	114.0
612	114.0
613	114.0
614	114.0
615	114.0
616	114.0
617	114.0
618	115.0
619	115.0
620	115.0
621	115.0
622	115.0
623	115.0
624	115.0
625	115.0
626	115.0
627	115.0
628	115.0
629	115.0
630	115.0
631	115.0
632	115.0
633	116.0
634	116.0
635	116.0
636	116.0
637	116.0
638	116.0
639	116.0
640	116.0
641	116.0
642	116.0
643	117.0
644	117.0
645	117.0
646	117.0
647	117.0
648	117.0
649	117.0
650	117.0
651	117.0
652	117.0
653	117.0
654	117.0
655	117.0
656	117.0
657	118.0
658	118.0
659	118.0
660	118.0
661	118.0
662	118.0
663	118.0
664	118.0
665	118.0
666	118.0
667	118.0
668	118.0
669	119.0
670	119.0
671	119.0
672	119.0
673	119.0
674	119.0
675	119.0
676	119.0
677	119.0
678	119.0
679	119.0
680	119.0
681	120.0
682	120.0
683	120.0
684	120.0
685	120.0
686	120.0
687	120.0
688	120.0
689	120.0
690	120.0
691	120.0
692	120.0
693	121.0
694	121.0
695	121.0
696	121.0
697	121.0
698	121.0
699	121.0
700	121.0
701	121.0
702	121.0
703	121.0
704	121.0
705	121.0
706	121.0
707	121.0
708	121.0
709	122.0
710	122.0
711	122.0
712	122.0
713	122.0
714	122.0
715	122.0
716	122.0
717	122.0
718	122.0
719	122.0
720	122.0
721	122.0
722	122.0
723	122.0
724	122.0
725	122.0
726	122.0
727	122.0
728	123.0
729	123.0
730	123.0
731	123.0
732	123.0
733	123.0
734	123.0
735	123.0
736	123.0
737	123.0
738	123.0
739	124.0
740	124.0
741	124.0
742	124.0
743	124.0
744	124.0
745	124.0
746	124.0
747	124.0
748	124.0
749	124.0
750	124.0
751	124.0
752	124.0
753	124.0
754	125.0
755	125.0
756	125.0
757	125.0
758	125.0
759	125.0
760	125.0
761	125.0
762	125.0
763	125.0
764	125.0
765	125.0
766	126.0
767	126.0
768	126.0
769	126.0
770	126.0
771	126.0
772	127.0
773	127.0
774	127.0
775	127.0
776	127.0
777	127.0
778	127.0
779	127.0
780	127.0
781	127.0
782	127.0
783	127.0
784	127.0
785	127.0
786	128.0
787	128.0
788	128.0
789	128.0
790	128.0
791	128.0
792	128.0
793	128.0
794	128.0
795	128.0
796	128.0
797	128.0
798	129.0
799	129.0
800	129.0
801	129.0
802	129.0
803	129.0
804	129.0
805	129.0
806	129.0
807	129.0
808	129.0
809	129.0
810	129.0
811	129.0
812	129.0
813	129.0
814	129.0
815	129.0
816	129.0
817	129.0
818	130.0
819	130.0
820	130.0
821	130.0
822	130.0
823	130.0
824	130.0
825	130.0
826	130.0
827	130.0
828	130.0
829	130.0
830	130.0
831	130.0
832	130.0
833	130.0
834	130.0
835	130.0
836	130.0
837	130.0
838	130.0
839	130.0
840	130.0
841	130.0
842	130.0
843	131.0
844	131.0
845	131.0
846	131.0
847	131.0
848	131.0
849	131.0
850	131.0
851	131.0
852	131.0
853	132.0
854	132.0
855	132.0
856	132.0
857	132.0
858	132.0
859	132.0
860	132.0
861	132.0
862	132.0
863	132.0
864	132.0
865	132.0
866	132.0
867	132.0
868	132.0
869	132.0
870	133.0
871	133.0
872	133.0
873	133.0
874	133.0
875	133.0
876	133.0
877	133.0
878	133.0
879	133.0
880	133.0
881	133.0
882	133.0
883	133.0
884	133.0
885	134.0
886	134.0
887	134.0
888	134.0
889	134.0
890	134.0
891	134.0
892	134.0
893	134.0
894	134.0
895	134.0
896	134.0
897	134.0
898	134.0
899	134.0
900	134.0
901	134.0
902	134.0
903	134.0
904	134.0
905	134.0
906	134.0
907	134.0
908	134.0
909	135.0
910	135.0
911	135.0
912	135.0
