	evalue
11370	0.0
22819	0.0
5181	0.0
5180	0.0
22820	0.0
11377	0.0
11381	0.0
11382	0.0
21467	0.0
21468	0.0
5205	0.0
5207	0.0
22808	0.0
22810	0.0
5234	0.0
5233	0.0
11293	0.0
11294	0.0
11295	0.0
5228	0.0
11301	0.0
11304	0.0
11307	0.0
11208	0.0
11308	0.0
22812	0.0
11310	0.0
5219	0.0
5218	0.0
11312	0.0
11318	0.0
5214	0.0
11328	0.0
11329	0.0
5209	0.0
5208	0.0
11309	0.0
21493	0.0
22795	0.0
11204	0.0
11098	0.0
11102	0.0
5400	0.0
5399	0.0
5398	0.0
5397	0.0
5395	0.0
21517	0.0
5393	0.0
11105	0.0
5391	0.0
5389	0.0
5388	0.0
11107	0.0
5385	0.0
5384	0.0
11111	0.0
11113	0.0
11115	0.0
11116	0.0
11117	0.0
22782	0.0
5377	0.0
11097	0.0
11096	0.0
5405	0.0
22781	0.0
11043	0.0
11044	0.0
11045	0.0
5429	0.0
11049	0.0
5427	0.0
5426	0.0
11050	0.0
5424	0.0
22776	0.0
22777	0.0
11119	0.0
11051	0.0
11055	0.0
21524	0.0
22780	0.0
11068	0.0
11073	0.0
11078	0.0
11081	0.0
11083	0.0
11087	0.0
5408	0.0
11088	0.0
11052	0.0
21534	0.0
11120	0.0
11121	0.0
5337	0.0
5336	0.0
22793	0.0
11163	0.0
11164	0.0
11169	0.0
22794	0.0
11171	0.0
11174	0.0
5328	0.0
21504	0.0
11188	0.0
5324	0.0
5323	0.0
21502	0.0
5320	0.0
5319	0.0
11197	0.0
11199	0.0
21500	0.0
5313	0.0
5312	0.0
21494	0.0
5338	0.0
22792	0.0
11162	0.0
11161	0.0
5370	0.0
11122	0.0
11123	0.0
11125	0.0
22783	0.0
5365	0.0
5364	0.0
5363	0.0
22784	0.0
11129	0.0
22786	0.0
5374	0.0
5357	0.0
5355	0.0
11140	0.0
11141	0.0
11142	0.0
11146	0.0
11150	0.0
21509	0.0
5345	0.0
11157	0.0
11158	0.0
11159	0.0
11131	0.0
22941	0.0
12192	0.0
4602	0.0
13387	0.0
13388	0.0
3866	0.0
3865	0.0
3863	0.0
13393	0.0
13400	0.0
20867	0.0
13409	0.0
23104	0.0
20866	0.0
3855	0.0
3854	0.0
3853	0.0
20865	0.0
13417	0.0
13418	0.0
3849	0.0
13420	0.0
13421	0.0
3846	0.0
13427	0.0
13429	0.0
3869	0.0
13432	0.0
3870	0.0
20875	0.0
20886	0.0
20885	0.0
3896	0.0
3895	0.0
3894	0.0
3893	0.0
3892	0.0
3891	0.0
3890	0.0
13334	0.0
13337	0.0
13350	0.0
13357	0.0
13365	0.0
13370	0.0
3880	0.0
3879	0.0
3878	0.0
3877	0.0
20879	0.0
20877	0.0
13378	0.0
3873	0.0
20874	0.0
13436	0.0
13438	0.0
13440	0.0
20848	0.0
13506	0.0
20846	0.0
3802	0.0
3801	0.0
3800	0.0
13517	0.0
13519	0.0
13525	0.0
3795	0.0
3794	0.0
13534	0.0
20834	0.0
13540	0.0
3789	0.0
23127	0.0
13541	0.0
3786	0.0
20833	0.0
13544	0.0
23130	0.0
20832	0.0
13547	0.0
20849	0.0
20850	0.0
13493	0.0
3809	0.0
13443	0.0
20859	0.0
23113	0.0
23114	0.0
23115	0.0
13451	0.0
20857	0.0
13453	0.0
3828	0.0
13454	0.0
3826	0.0
3899	0.0
3825	0.0
3822	0.0
20855	0.0
23122	0.0
3818	0.0
20852	0.0
13466	0.0
3815	0.0
13475	0.0
13476	0.0
20851	0.0
13485	0.0
3823	0.0
13323	0.0
3902	0.0
13322	0.0
13140	0.0
13143	0.0
13155	0.0
3999	0.0
3998	0.0
3997	0.0
13165	0.0
20947	0.0
20946	0.0
20945	0.0
3992	0.0
20944	0.0
20943	0.0
3989	0.0
20942	0.0
13181	0.0
20941	0.0
20940	0.0
13185	0.0
20937	0.0
20936	0.0
20935	0.0
20934	0.0
20958	0.0
20962	0.0
4011	0.0
4012	0.0
20979	0.0
4041	0.0
13054	0.0
4038	0.0
4037	0.0
13057	0.0
23069	0.0
13069	0.0
13070	0.0
13071	0.0
13075	0.0
13195	0.0
13076	0.0
20975	0.0
23074	0.0
13087	0.0
13090	0.0
20973	0.0
13093	0.0
20970	0.0
13106	0.0
4017	0.0
20964	0.0
13110	0.0
23073	0.0
20831	0.0
23089	0.0
20933	0.0
20909	0.0
20908	0.0
23096	0.0
13257	0.0
7853	0.0
20903	0.0
3925	0.0
3924	0.0
13273	0.0
13275	0.0
3920	0.0
20898	0.0
20897	0.0
3915	0.0
3914	0.0
3913	0.0
13295	0.0
13305	0.0
13306	0.0
20892	0.0
13316	0.0
20890	0.0
13319	0.0
20911	0.0
13243	0.0
20914	0.0
3938	0.0
3970	0.0
20932	0.0
20931	0.0
20930	0.0
20926	0.0
3965	0.0
20924	0.0
3963	0.0
3962	0.0
3961	0.0
3960	0.0
3972	0.0
20923	0.0
13223	0.0
20919	0.0
3949	0.0
3948	0.0
23093	0.0
20918	0.0
3945	0.0
20917	0.0
3943	0.0
20916	0.0
13237	0.0
23090	0.0
4043	0.0
20829	0.0
3773	0.0
23198	0.0
23199	0.0
23200	0.0
20675	0.0
23204	0.0
23205	0.0
13985	0.0
20674	0.0
23207	0.0
3593	0.0
23209	0.0
20669	0.0
3590	0.0
14008	0.0
23211	0.0
23212	0.0
14010	0.0
14012	0.0
23213	0.0
14024	0.0
3580	0.0
14025	0.0
14026	0.0
13980	0.0
14027	0.0
23197	0.0
23195	0.0
20701	0.0
13910	0.0
13915	0.0
13918	0.0
20699	0.0
13927	0.0
13929	0.0
13942	0.0
20695	0.0
20693	0.0
3623	0.0
13947	0.0
20690	0.0
13952	0.0
20689	0.0
13956	0.0
13959	0.0
13960	0.0
13965	0.0
13966	0.0
3612	0.0
3610	0.0
3608	0.0
13976	0.0
3574	0.0
20667	0.0
3570	0.0
20653	0.0
20652	0.0
14089	0.0
14095	0.0
20647	0.0
14100	0.0
14102	0.0
23246	0.0
14109	0.0
23250	0.0
14113	0.0
23252	0.0
23254	0.0
20643	0.0
23257	0.0
23258	0.0
20642	0.0
14124	0.0
20637	0.0
20636	0.0
23259	0.0
23260	0.0
14141	0.0
20654	0.0
20656	0.0
20657	0.0
20658	0.0
23217	0.0
14033	0.0
14036	0.0
14037	0.0
14038	0.0
14039	0.0
23222	0.0
20666	0.0
20665	0.0
23223	0.0
14049	0.0
3636	0.0
14058	0.0
23228	0.0
23229	0.0
23231	0.0
14059	0.0
14063	0.0
20662	0.0
20661	0.0
14067	0.0
20660	0.0
23236	0.0
20659	0.0
23227	0.0
13902	0.0
20702	0.0
20703	0.0
20807	0.0
20806	0.0
13647	0.0
20805	0.0
13649	0.0
23154	0.0
13650	0.0
20802	0.0
20801	0.0
13659	0.0
13661	0.0
20800	0.0
20799	0.0
20797	0.0
13673	0.0
20793	0.0
3720	0.0
13692	0.0
20787	0.0
13704	0.0
13712	0.0
20786	0.0
20785	0.0
13640	0.0
20808	0.0
23149	0.0
13633	0.0
3772	0.0
20828	0.0
20827	0.0
23138	0.0
20826	0.0
13567	0.0
13568	0.0
13572	0.0
20825	0.0
20824	0.0
13587	0.0
20784	0.0
13590	0.0
3756	0.0
3755	0.0
20821	0.0
13610	0.0
23144	0.0
23145	0.0
13618	0.0
20812	0.0
13629	0.0
23147	0.0
20809	0.0
20822	0.0
3774	0.0
13727	0.0
13743	0.0
13830	0.0
20737	0.0
13832	0.0
20735	0.0
23182	0.0
23183	0.0
13836	0.0
23185	0.0
13852	0.0
20731	0.0
20730	0.0
20729	0.0
3654	0.0
20728	0.0
20726	0.0
3651	0.0
13862	0.0
13870	0.0
13871	0.0
13873	0.0
3642	0.0
20707	0.0
20706	0.0
20738	0.0
23178	0.0
20745	0.0
3673	0.0
3708	0.0
13745	0.0
13747	0.0
13749	0.0
13759	0.0
20767	0.0
20759	0.0
13774	0.0
20756	0.0
13779	0.0
3695	0.0
13732	0.0
20754	0.0
13786	0.0
13787	0.0
23174	0.0
3684	0.0
20750	0.0
13795	0.0
13806	0.0
13807	0.0
20746	0.0
13812	0.0
13816	0.0
3692	0.0
4045	0.0
13038	0.0
20984	0.0
12416	0.0
12417	0.0
12425	0.0
22980	0.0
12426	0.0
12439	0.0
12454	0.0
12456	0.0
4412	0.0
12459	0.0
12461	0.0
12462	0.0
21145	0.0
22982	0.0
4406	0.0
4405	0.0
21138	0.0
12477	0.0
12480	0.0
4400	0.0
4399	0.0
12481	0.0
12482	0.0
12415	0.0
12483	0.0
4425	0.0
4427	0.0
4459	0.0
4458	0.0
4457	0.0
4456	0.0
4454	0.0
12378	0.0
12379	0.0
4451	0.0
22971	0.0
12382	0.0
12383	0.0
21166	0.0
21161	0.0
4439	0.0
21159	0.0
21157	0.0
4436	0.0
4434	0.0
4433	0.0
12397	0.0
12400	0.0
21155	0.0
21154	0.0
12410	0.0
12484	0.0
12485	0.0
4391	0.0
4350	0.0
12554	0.0
21112	0.0
12557	0.0
12558	0.0
12559	0.0
12560	0.0
12562	0.0
21110	0.0
12568	0.0
21109	0.0
22994	0.0
21108	0.0
21107	0.0
21106	0.0
22997	0.0
4334	0.0
12579	0.0
12583	0.0
4331	0.0
4330	0.0
4329	0.0
4328	0.0
4352	0.0
12548	0.0
4356	0.0
4357	0.0
4390	0.0
4389	0.0
12509	0.0
12515	0.0
12522	0.0
22984	0.0
12526	0.0
21122	0.0
4378	0.0
12530	0.0
12533	0.0
4460	0.0
4372	0.0
4370	0.0
12535	0.0
12536	0.0
21120	0.0
21119	0.0
4364	0.0
22986	0.0
21118	0.0
22987	0.0
21117	0.0
21116	0.0
21121	0.0
12371	0.0
22970	0.0
4465	0.0
21228	0.0
12217	0.0
12220	0.0
4564	0.0
21223	0.0
4559	0.0
4558	0.0
4556	0.0
21221	0.0
21220	0.0
12242	0.0
4548	0.0
21218	0.0
4546	0.0
4545	0.0
21216	0.0
21215	0.0
4542	0.0
21214	0.0
21204	0.0
12264	0.0
4537	0.0
4536	0.0
4568	0.0
4569	0.0
4570	0.0
4571	0.0
4601	0.0
12193	0.0
21238	0.0
21237	0.0
4594	0.0
4593	0.0
4592	0.0
4591	0.0
12200	0.0
4589	0.0
12202	0.0
4535	0.0
4587	0.0
22946	0.0
22947	0.0
12203	0.0
21236	0.0
4580	0.0
22948	0.0
4576	0.0
21235	0.0
4574	0.0
12209	0.0
4572	0.0
22944	0.0
4327	0.0
4534	0.0
21200	0.0
4496	0.0
4492	0.0
4490	0.0
4489	0.0
12338	0.0
21179	0.0
21177	0.0
12347	0.0
4484	0.0
12350	0.0
22967	0.0
12351	0.0
4480	0.0
12352	0.0
12354	0.0
4475	0.0
4474	0.0
4473	0.0
22968	0.0
21172	0.0
4469	0.0
4468	0.0
12370	0.0
12327	0.0
12316	0.0
12315	0.0
21186	0.0
12268	0.0
22955	0.0
4528	0.0
4527	0.0
12269	0.0
4525	0.0
4524	0.0
12275	0.0
4521	0.0
12280	0.0
22957	0.0
21201	0.0
12288	0.0
12294	0.0
12297	0.0
21193	0.0
22958	0.0
4509	0.0
4508	0.0
4507	0.0
12303	0.0
4505	0.0
4503	0.0
12311	0.0
4515	0.0
21097	0.0
21096	0.0
21095	0.0
4147	0.0
4146	0.0
4145	0.0
4144	0.0
12913	0.0
4142	0.0
4141	0.0
4140	0.0
4139	0.0
4138	0.0
4137	0.0
23046	0.0
21007	0.0
4133	0.0
4132	0.0
12922	0.0
4129	0.0
4128	0.0
12923	0.0
23047	0.0
4125	0.0
4124	0.0
23048	0.0
4148	0.0
12912	0.0
12911	0.0
21008	0.0
21022	0.0
21020	0.0
12842	0.0
12849	0.0
12850	0.0
21019	0.0
12855	0.0
4176	0.0
12857	0.0
21018	0.0
4172	0.0
12924	0.0
4171	0.0
12867	0.0
12868	0.0
23041	0.0
23042	0.0
23043	0.0
21013	0.0
21012	0.0
12880	0.0
21011	0.0
12896	0.0
12902	0.0
12860	0.0
21023	0.0
23050	0.0
4115	0.0
20990	0.0
12990	0.0
4073	0.0
12996	0.0
12998	0.0
20988	0.0
13004	0.0
20987	0.0
23063	0.0
23064	0.0
13010	0.0
13014	0.0
23065	0.0
4062	0.0
20986	0.0
4059	0.0
4058	0.0
23066	0.0
4056	0.0
4055	0.0
23067	0.0
13020	0.0
4051	0.0
12985	0.0
23062	0.0
12984	0.0
23060	0.0
21003	0.0
12940	0.0
12942	0.0
4111	0.0
4110	0.0
4109	0.0
12944	0.0
4107	0.0
21001	0.0
20997	0.0
20996	0.0
12937	0.0
12956	0.0
12968	0.0
4095	0.0
4092	0.0
20992	0.0
4090	0.0
4089	0.0
4088	0.0
4087	0.0
4084	0.0
4083	0.0
12981	0.0
4099	0.0
21632	0.0
12835	0.0
21024	0.0
21074	0.0
12657	0.0
21073	0.0
12660	0.0
12661	0.0
21062	0.0
12678	0.0
12680	0.0
4276	0.0
4275	0.0
12681	0.0
12685	0.0
12686	0.0
12689	0.0
4270	0.0
23017	0.0
12692	0.0
12693	0.0
4264	0.0
23023	0.0
23025	0.0
12696	0.0
12700	0.0
21075	0.0
4288	0.0
12651	0.0
21076	0.0
4323	0.0
12596	0.0
21094	0.0
4319	0.0
21092	0.0
21090	0.0
21088	0.0
4314	0.0
21087	0.0
4312	0.0
23005	0.0
21058	0.0
4310	0.0
4308	0.0
12618	0.0
21083	0.0
12630	0.0
12632	0.0
4300	0.0
21082	0.0
4296	0.0
21080	0.0
12643	0.0
12646	0.0
4309	0.0
12834	0.0
12707	0.0
21057	0.0
12781	0.0
12790	0.0
12791	0.0
4213	0.0
12792	0.0
12794	0.0
12803	0.0
21038	0.0
12806	0.0
12807	0.0
12808	0.0
21028	0.0
12822	0.0
12824	0.0
4197	0.0
4196	0.0
21027	0.0
4194	0.0
21026	0.0
21025	0.0
12830	0.0
4190	0.0
12832	0.0
12766	0.0
12764	0.0
4221	0.0
12759	0.0
12710	0.0
4253	0.0
21054	0.0
21053	0.0
12728	0.0
12731	0.0
4245	0.0
4244	0.0
4243	0.0
4242	0.0
12734	0.0
4256	0.0
12735	0.0
12737	0.0
12738	0.0
4233	0.0
12742	0.0
4231	0.0
4230	0.0
4229	0.0
12746	0.0
21048	0.0
12757	0.0
12758	0.0
12736	0.0
5705	0.0
22728	0.0
5707	0.0
8814	0.0
8818	0.0
7142	0.0
7140	0.0
7139	0.0
7138	0.0
7137	0.0
7136	0.0
8820	0.0
8823	0.0
8828	0.0
8829	0.0
8831	0.0
8832	0.0
7128	0.0
8835	0.0
8837	0.0
7124	0.0
8841	0.0
8843	0.0
8845	0.0
8846	0.0
8848	0.0
8813	0.0
8857	0.0
7150	0.0
8808	0.0
8769	0.0
8770	0.0
8771	0.0
8772	0.0
7178	0.0
8776	0.0
7176	0.0
8778	0.0
8784	0.0
7173	0.0
8785	0.0
8786	0.0
8787	0.0
8788	0.0
8790	0.0
7163	0.0
8791	0.0
22088	0.0
8801	0.0
8802	0.0
8803	0.0
8805	0.0
8807	0.0
22083	0.0
8858	0.0
8861	0.0
8864	0.0
8905	0.0
8908	0.0
7074	0.0
7073	0.0
7072	0.0
22067	0.0
7070	0.0
7069	0.0
22064	0.0
22063	0.0
22062	0.0
22059	0.0
22470	0.0
22058	0.0
8922	0.0
8924	0.0
8931	0.0
22471	0.0
22472	0.0
22473	0.0
8933	0.0
8934	0.0
7046	0.0
8903	0.0
7078	0.0
7080	0.0
8897	0.0
8865	0.0
8866	0.0
7109	0.0
7108	0.0
8872	0.0
8875	0.0
8876	0.0
8877	0.0
8878	0.0
8879	0.0
8881	0.0
22444	0.0
7098	0.0
7096	0.0
8883	0.0
7094	0.0
8884	0.0
22070	0.0
7087	0.0
8889	0.0
8891	0.0
7084	0.0
8893	0.0
8894	0.0
7097	0.0
8765	0.0
8764	0.0
8763	0.0
8646	0.0
7282	0.0
8650	0.0
8651	0.0
8652	0.0
7273	0.0
7272	0.0
8667	0.0
7270	0.0
7269	0.0
8668	0.0
7267	0.0
7266	0.0
7265	0.0
7264	0.0
7262	0.0
7260	0.0
7259	0.0
8669	0.0
7257	0.0
7255	0.0
7254	0.0
8672	0.0
8640	0.0
22436	0.0
8639	0.0
8634	0.0
8571	0.0
7328	0.0
7324	0.0
7323	0.0
8579	0.0
8580	0.0
8585	0.0
7316	0.0
7313	0.0
8598	0.0
8599	0.0
8681	0.0
8601	0.0
7306	0.0
8606	0.0
7304	0.0
7302	0.0
7301	0.0
7299	0.0
8609	0.0
8613	0.0
8624	0.0
7289	0.0
8629	0.0
7307	0.0
7044	0.0
7249	0.0
7247	0.0
7212	0.0
8732	0.0
7210	0.0
8734	0.0
7207	0.0
8736	0.0
8740	0.0
8741	0.0
22103	0.0
8744	0.0
22101	0.0
8747	0.0
8748	0.0
8749	0.0
7195	0.0
7194	0.0
7193	0.0
8756	0.0
7191	0.0
7190	0.0
7189	0.0
8757	0.0
8758	0.0
7213	0.0
7215	0.0
8731	0.0
7217	0.0
8691	0.0
8693	0.0
8694	0.0
8700	0.0
8702	0.0
7238	0.0
7237	0.0
7236	0.0
7235	0.0
7234	0.0
7233	0.0
7248	0.0
7231	0.0
22109	0.0
8718	0.0
8720	0.0
8721	0.0
8723	0.0
8727	0.0
8728	0.0
22440	0.0
8729	0.0
7219	0.0
22441	0.0
8709	0.0
7330	0.0
8949	0.0
22474	0.0
9206	0.0
22506	0.0
22507	0.0
6864	0.0
6863	0.0
9207	0.0
9208	0.0
9209	0.0
9210	0.0
9211	0.0
9212	0.0
9214	0.0
9218	0.0
6853	0.0
9220	0.0
6850	0.0
9223	0.0
9224	0.0
6847	0.0
9229	0.0
22509	0.0
9230	0.0
9231	0.0
