	evalue
13266	0.0
4987	0.0
4986	0.0
4982	0.0
22863	0.0
11634	0.0
11637	0.0
11639	0.0
11640	0.0
22864	0.0
11642	0.0
4972	0.0
4971	0.0
11645	0.0
4968	0.0
4967	0.0
4966	0.0
4965	0.0
4963	0.0
11649	0.0
11650	0.0
4957	0.0
11651	0.0
4955	0.0
11630	0.0
11652	0.0
11629	0.0
21404	0.0
11571	0.0
22856	0.0
21416	0.0
11578	0.0
5017	0.0
11580	0.0
11582	0.0
11584	0.0
5013	0.0
11589	0.0
11592	0.0
11597	0.0
11601	0.0
11613	0.0
11614	0.0
4999	0.0
4998	0.0
4997	0.0
11618	0.0
4995	0.0
11620	0.0
11622	0.0
11626	0.0
11628	0.0
11654	0.0
4951	0.0
11655	0.0
11715	0.0
22873	0.0
11716	0.0
11717	0.0
11720	0.0
11729	0.0
21381	0.0
4905	0.0
4904	0.0
21376	0.0
4902	0.0
21375	0.0
11740	0.0
4895	0.0
11746	0.0
11747	0.0
4890	0.0
21372	0.0
11752	0.0
11755	0.0
11760	0.0
11762	0.0
4884	0.0
11714	0.0
21389	0.0
11697	0.0
11696	0.0
11656	0.0
11657	0.0
11659	0.0
11661	0.0
4944	0.0
4942	0.0
11667	0.0
11668	0.0
4938	0.0
21395	0.0
4936	0.0
11569	0.0
21394	0.0
11678	0.0
11679	0.0
4930	0.0
4929	0.0
11685	0.0
11686	0.0
11687	0.0
11689	0.0
11690	0.0
11694	0.0
4921	0.0
22870	0.0
21418	0.0
21419	0.0
22851	0.0
5133	0.0
11437	0.0
11440	0.0
21449	0.0
11443	0.0
5126	0.0
11445	0.0
5123	0.0
21446	0.0
11447	0.0
5120	0.0
5119	0.0
11448	0.0
5117	0.0
5116	0.0
11449	0.0
5113	0.0
11456	0.0
11457	0.0
5108	0.0
5107	0.0
5106	0.0
11458	0.0
5134	0.0
5135	0.0
11435	0.0
5137	0.0
5168	0.0
5167	0.0
5166	0.0
5165	0.0
11387	0.0
11390	0.0
11395	0.0
11399	0.0
21455	0.0
11402	0.0
21454	0.0
11460	0.0
5157	0.0
11404	0.0
22821	0.0
11407	0.0
11408	0.0
11413	0.0
11417	0.0
11419	0.0
22823	0.0
5145	0.0
11426	0.0
11430	0.0
5156	0.0
11763	0.0
11461	0.0
11468	0.0
5070	0.0
11516	0.0
21431	0.0
11520	0.0
11522	0.0
5063	0.0
22842	0.0
11529	0.0
11531	0.0
11537	0.0
21429	0.0
11547	0.0
11549	0.0
5044	0.0
11553	0.0
5041	0.0
5040	0.0
