transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cluster-80718.13076_A0.TRINITY_DN1365_c0_g1_i19	51.2748705890205	23.9966183028453	2.97430191447312	8.06798334294054	7.14687943707922e-16	6.16524119788521e-12
Cluster-80718.140_A1.NODE_21484_length_5750_cov_31.139539_g9241_i0	124.571187593946	-4.4102589240779	0.956130374300255	-4.61261250831567	3.97639182184797e-06	0.004408145921171
Cluster-80718.14266_A0.TRINITY_DN799_c0_g1_i1	13.7087762800075	-7.12475976289053	1.58337547202959	-4.49972851591412	6.80403021546686e-06	0.00693718061698268
Cluster-80718.14438_A0.TRINITY_DN7930_c0_g1_i14	97.1898151131909	-23.7299322426789	3.02650527870157	-7.84070406540297	4.48027190630025e-15	1.64686542143138e-11
Cluster-80718.14438_A0.TRINITY_DN7930_c0_g1_i23	97.564137204019	-23.9078400778709	3.02650403776743	-7.89949056057005	2.80045643409109e-15	1.15050163285376e-11
Cluster-80718.15250_A0.TRINITY_DN83231_c0_g1_i3	391.883476572617	1.67015544546168	0.40517076937819	4.1221025100721	3.75430056702547e-05	0.0310298495563718
Cluster-80718.15733_A0.TRINITY_DN1099_c0_g3_i1	79.3662507593469	24.6020034606774	3.02665427679333	8.12844851468885	4.34819731894327e-16	5.06133791422763e-12
Cluster-80718.16144_A0.TRINITY_DN42576_c0_g2_i5	10.8804919263027	7.06034100849219	1.53810374457609	4.59028920083545	4.42632287759692e-06	0.00479281554934585
Cluster-80718.16313_A1.NODE_56620_length_2982_cov_9429.411664_g3734_i8	12.6522465425346	5.64887840776774	1.24628560364519	4.53257133938294	5.82699871807919e-06	0.00607403737268671
Cluster-80718.16329_A0.TRINITY_DN1836_c0_g1_i18	45.2948387537134	-8.8507272818625	1.10322242428562	-8.02261365163391	1.03518545478412e-15	6.76301996900314e-12
Cluster-80718.16875_A1.NODE_57433_length_2946_cov_538.752345_g285_i96	183.027805843214	-7.3224377219497	1.58274249908235	-4.62642389788304	3.72033478217644e-06	0.00419080711862248
Cluster-80718.17337_A1.NODE_60791_length_2800_cov_305.031833_g23559_i0	177.332375227037	-24.056887174089	3.02636125993129	-7.94911284802636	1.8785187691883e-15	8.46430258706422e-12
Cluster-80718.17507_A1.NODE_27621_length_5015_cov_634.960792_g0_i43	72.6563545303134	9.79925119549237	1.8355479766101	5.33859714938624	9.3668511682286e-08	0.000155758468813016
Cluster-80718.17818_A1.NODE_4900_length_10165_cov_474.976728_g2640_i1	43.3363713750011	23.4480914437575	2.96982388317177	7.89544847309765	2.89273165986758e-15	1.15445614566275e-11
Cluster-80718.17874_A1.NODE_36639_length_4194_cov_200.810516_g3510_i11	65.8166603540212	-4.2135897985193	0.776812044106803	-5.42420760656998	5.82121933060651e-08	9.91602118681035e-05
Cluster-80718.18446_A0.TRINITY_DN10087_c0_g2_i7	50.5622169169988	23.9942374560396	2.97151329465168	8.07475352683966	6.76130792331465e-16	6.16524119788521e-12
Cluster-80718.18822_A1.NODE_37972_length_4093_cov_454.546696_g15160_i0	6.90540297971766	4.13565733262927	0.973879422311301	4.24658046764572	2.17057847103042e-05	0.0195605529943226
Cluster-80718.19338_A1.NODE_56961_length_2966_cov_410.383236_g14277_i4	75.8363408848359	-23.5633310858099	3.02659494190722	-7.78542604414762	6.94786765224843e-15	2.48842333726593e-11
Cluster-80718.19524_A1.NODE_88163_length_1897_cov_146.675410_g35240_i0	132.228496080589	-5.0787556857535	1.1467690788561	-4.42875185544727	9.47799948405759e-06	0.00952443486282481
Cluster-80718.20188_A0.TRINITY_DN3856_c0_g1_i5	34.3782929058591	-8.45333642668728	1.61798724743936	-5.22460015680939	1.74531837765381e-07	0.000264986756857675
Cluster-80718.20342_A1.NODE_74405_length_2283_cov_1628.601534_g29050_i0	724.501555339333	-6.13746158462363	1.48305296740181	-4.1383967528658	3.49741195084417e-05	0.0297879267503576
Cluster-80718.20672_A0.TRINITY_DN4649_c0_g1_i8	111.589099142062	10.4181878494026	1.72508275628491	6.0392394576124	1.54842313441937e-09	3.27704987634594e-06
Cluster-80718.20740_A1.NODE_38253_length_4073_cov_1055.984773_g9171_i3	224.419078652795	7.4876617176854	1.87666616321406	3.98987409932393	6.61083762147307e-05	0.0471126739696418
Cluster-80718.22017_A0.TRINITY_DN1596_c0_g2_i2	3706.52652156191	1.3724357360651	0.338161916374657	4.05851655555603	4.93854328778426e-05	0.0387168366887692
Cluster-80718.22755_A1.NODE_11794_length_7531_cov_238.767417_g5600_i0	60.8346303104591	9.54314815614471	1.69270842376312	5.63779799413356	1.72238383971038e-08	3.20779062819448e-05
Cluster-80718.23365_A1.NODE_20645_length_5856_cov_146.727414_g8954_i0	23.8605242347683	22.9732028531098	2.88989204174075	7.94950209948733	1.87262608823915e-15	8.46430258706422e-12
Cluster-80718.23758_A1.NODE_27351_length_5045_cov_1061.726798_g11400_i0	151.510710747235	-5.716048994854	1.33230003076335	-4.2903616774511	1.78382364679159e-05	0.0166736071427164
Cluster-80718.23960_A1.NODE_38736_length_4035_cov_914.306452_g15419_i0	1034.15141075684	-3.70494169327691	0.781823775979857	-4.73884500203837	2.14939830621846e-06	0.00263359741062194
Cluster-80718.24008_A0.TRINITY_DN778_c0_g1_i16	60.4025719287075	-23.2474347811761	3.01550194927844	-7.70930849066066	1.26501294072097e-14	4.10926215285689e-11
Cluster-80718.24096_A0.TRINITY_DN3544_c0_g1_i5	58.9896649510259	1.31439235310962	0.249702671211909	5.26382976493739	1.41085096067267e-07	0.000218965636708577
Cluster-80718.24102_A1.NODE_106924_length_1506_cov_58677.187630_g45819_i0	12072.945800598	9.00145806363002	1.50881430248171	5.96591512210902	2.43266724205519e-09	4.99702048584576e-06
Cluster-80718.24134_A0.TRINITY_DN13_c0_g1_i6	1295.54775495666	1.78581601216766	0.378034268161102	4.72395272749882	2.31304205528982e-06	0.00278524161487015
Cluster-80718.24212_A1.NODE_186655_length_758_cov_4843.785818_g55380_i1	378.001662067087	-6.80547440336301	1.38554896888696	-4.91175307129708	9.02656853622457e-07	0.00118733126948037
Cluster-80718.24879_A0.TRINITY_DN159_c15_g1_i1	134.05066303086	-6.88512860870363	1.5847990574411	-4.34448050456359	1.39605640273851e-05	0.0133563393418437
Cluster-80718.25618_A1.NODE_106353_length_1516_cov_195533.912353_g45475_i0	897.652054157605	1.35832055684112	0.340967667112488	3.98372246947685	6.78440994793768e-05	0.0478612710069638
Cluster-80718.26078_A1.NODE_237290_length_581_cov_276539.204280_g158373_i0	1306.3002434856	1.56366261553371	0.336950635495587	4.64062818351381	3.47351628949936e-06	0.00394458722628911
Cluster-80718.26088_A0.TRINITY_DN194_c0_g1_i2	3487.13093504429	-6.02297085760849	1.22205677479111	-4.9285524059535	8.28411151958905e-07	0.00110203141063592
Cluster-80718.26335_A0.TRINITY_DN2816_c0_g1_i10	20.8675516633481	2.03888526270146	0.43135399814358	4.72671001422549	2.28186773134014e-06	0.00277159623114193
Cluster-80718.26376_A1.NODE_145247_length_1027_cov_155103.783333_g73404_i0	419.739412995121	1.44427382147766	0.336986820012512	4.28584661389439	1.82044566182179e-05	0.0167290572690085
Cluster-80718.26377_A1.NODE_178062_length_801_cov_138881.092643_g101866_i0	356.792089534427	1.82189145291177	0.43008740955904	4.23609576197479	2.27439809587929e-05	0.0203647564378535
Cluster-80718.26446_A1.NODE_174373_length_821_cov_306972.724138_g98527_i0	124.269944009196	1.89656641623379	0.477694698990029	3.97024798525842	7.17978637292703e-05	0.0491607715861187
Cluster-80718.26446_A1.NODE_278872_length_494_cov_429693.540984_g199563_i0	483.260687166546	1.28137486084357	0.316625532166243	4.04697262433906	5.18843064997156e-05	0.0398200649241032
Cluster-80718.26460_A1.NODE_198358_length_707_cov_326275.856250_g120695_i0	630.602327261353	1.00808425269054	0.247347473648854	4.07557933711369	4.58999293617806e-05	0.0364202107069213
Cluster-80718.26816_A1.NODE_178937_length_796_cov_152345.194787_g102657_i0	74.5625315160679	2.42590671380108	0.56563065912846	4.28885293724881	1.79598235133447e-05	0.0166736071427164
Cluster-80718.26920_A0.TRINITY_DN244_c1_g1_i48	88.4975343448829	24.7378145156915	3.02660630667699	8.1734497351431	2.99694253504318e-16	3.80559936579424e-12
Cluster-80718.27389_A0.TRINITY_DN2982_c1_g1_i7	286.743476748914	-11.5128489142684	2.50302360067882	-4.59957665247189	4.23350397987429e-06	0.00461984429228766
Cluster-80718.27514_A1.NODE_1059130_length_211_cov_14295.215278_g979725_i0	57.5751711462113	-23.1756116781319	3.01222217758116	-7.69385865711341	1.42762759384564e-14	4.49802775707425e-11
Cluster-80718.27748_A0.TRINITY_DN5415_c0_g1_i16	26.2484404075944	8.33051504880974	1.67232202756771	4.98140603991561	6.31239323617409e-07	0.000881721399622033
Cluster-80718.28695_A1.NODE_204560_length_683_cov_40.831169_g126585_i0	15.1400433688828	4.1418554248265	0.821765273838521	5.04019281014348	4.65063063390504e-07	0.000669695605746897
Cluster-80718.28696_A0.TRINITY_DN2461_c0_g1_i5	10.0433739093079	6.94212597787301	1.54225645396228	4.50127860385197	6.75458987744425e-06	0.00693718061698268
Cluster-80718.29509_A1.NODE_84841_length_1981_cov_594.668234_g33646_i0	19.4215619402835	7.89539458727065	1.67555101327035	4.71211829704926	2.45154988203527e-06	0.00290199100908957
Cluster-80718.29870_A1.NODE_67054_length_2541_cov_6112.525465_g16862_i1	301.773047172969	-4.14076277015915	0.869731591121374	-4.76096627100819	1.92668249872197e-06	0.00238160122215914
Cluster-80718.29917_A1.NODE_249652_length_551_cov_20161.935950_g32680_i9	607.419766181133	1.1287400863199	0.276644141910407	4.08011562625262	4.50133045819001e-05	0.0359285908417394
Cluster-80718.29978_A1.NODE_396056_length_364_cov_2104.707071_g316654_i0	42.4748680779126	-5.94746585760892	1.34905128754577	-4.40862842837408	1.04027325570653e-05	0.0103790291878817
Cluster-80718.29996_A0.TRINITY_DN3625_c5_g1_i6	143.416895593315	2.89713548493727	0.496762798606108	5.83202988039059	5.47571099834379e-09	1.0772574478305e-05
Cluster-80718.31093_A0.TRINITY_DN271_c0_g1_i37	124.185928458919	-24.2527750408799	3.02643602703936	-8.01364206089147	1.11360499486023e-15	6.76301996900314e-12
Cluster-80718.31319_A1.NODE_622_length_16799_cov_217.410172_g381_i1	389.323943331255	2.06717410723751	0.389731900716084	5.30409264276117	1.13234798778134e-07	0.000181801723311822
Cluster-80718.32524_A0.TRINITY_DN138_c0_g1_i27	59.7659205084534	24.2120104630979	2.99554433567165	8.08267471616947	6.33614664381287e-16	6.16524119788521e-12
Cluster-80718.33251_A1.NODE_65166_length_2613_cov_2629.428908_g6480_i11	57.490833039793	-9.19465355889077	2.30276711936911	-3.99287165495477	6.52779050235048e-05	0.0468081886838314
Cluster-80718.33536_A1.NODE_26257_length_5169_cov_30.392003_g65_i7	7.1216484397571	-6.1859207753949	1.26853543607	-4.87642725579605	1.08024498868765e-06	0.00138430917674202
Cluster-80718.34086_A1.NODE_86693_length_1933_cov_5612.480171_g23_i56	725.901493455623	9.5255481744146	1.89369197663282	5.03014655601594	4.9010506768668e-07	0.000698554754689216
Cluster-80718.35486_A0.TRINITY_DN1595_c0_g1_i10	384.852075375871	3.87136992042096	0.781885483230338	4.95132599780023	7.37095077929258e-07	0.000999593957089676
Cluster-80718.36650_A1.NODE_22248_length_5644_cov_23.818361_g9531_i0	86.2511911470484	4.12186880987247	0.893953496530266	4.61083135294043	4.01061812829458e-06	0.00441107992738831
Cluster-80718.37244_A1.NODE_43580_length_3694_cov_473.465674_g17184_i0	87.8379089694973	1.98332645018842	0.479563272117848	4.13569296378694	3.53885097680628e-05	0.0299581965631078
Cluster-80718.38322_A0.TRINITY_DN3289_c0_g2_i43	47.203026481221	23.9005443271552	2.98466639375238	8.00777747797368	1.16799995088711e-15	6.76600938926609e-12
Cluster-80718.38502_A0.TRINITY_DN1357_c0_g1_i1	65.5763915024514	-23.363241075393	3.02665886603592	-7.71915240847488	1.17105810044408e-14	3.89463253638403e-11
Cluster-80718.38851_A0.TRINITY_DN3150_c0_g2_i5	90.2326124465738	-23.8082162788596	3.02652985255468	-7.86650634183014	3.6468224781299e-15	1.37673462315584e-11
Cluster-80718.38953_A1.NODE_62913_length_2704_cov_276.698142_g13513_i3	62.0635595422045	-23.2706531390997	3.02532572416415	-7.69194964800989	1.44909650609848e-14	4.49802775707425e-11
Cluster-80718.39146_A1.NODE_2981_length_11697_cov_217.627171_g1725_i1	213.210471036108	-5.63072949205665	1.34942237017979	-4.17269612279101	3.01016295113953e-05	0.0259544797023531
Cluster-80718.40030_A0.TRINITY_DN20096_c0_g1_i1	6.86634194647785	5.20334653464554	1.15023369566317	4.52372987703644	6.07592605979433e-06	0.00628660317006023
Cluster-80718.40875_A0.TRINITY_DN17_c0_g1_i42	32.7493434273864	-22.3962991243792	2.93554255257148	-7.62935597876463	2.35929336172741e-14	6.73394341867087e-11
Cluster-80718.40882_A0.TRINITY_DN5740_c0_g2_i1	110.272775581922	25.0543699716713	3.02652392172984	8.278265964391	1.24981839286007e-16	1.93973203258986e-12
Cluster-80718.41441_A0.TRINITY_DN7090_c0_g1_i31	35.2105804475766	23.4972989704631	2.92726970543675	8.0270358849484	9.98558836079118e-16	6.76301996900314e-12
Cluster-80718.42058_A0.TRINITY_DN3192_c1_g1_i16	590.217329031217	27.3511479065635	2.54362910411765	10.752805061983	5.74863147878267e-27	4.01487296793921e-22
Cluster-80718.4221_A1.NODE_24381_length_5380_cov_203.501976_g10311_i0	106.554272210523	-5.44092737530916	1.24499492670537	-4.37024059986129	1.24109710739647e-05	0.0121229150390382
Cluster-80718.42317_A1.NODE_260563_length_528_cov_222029.451193_g181357_i0	31968.4444775003	1.29164984798983	0.319159507052567	4.0470354773956	5.18703821010498e-05	0.0398200649241032
Cluster-80718.42487_A1.NODE_118433_length_1326_cov_329.634631_g53221_i0	8.15873047162267	6.64541416731815	1.60938873224693	4.12915415285668	3.64100235923346e-05	0.0304538233856341
Cluster-80718.4295_A0.TRINITY_DN1353_c0_g1_i11	50.3783244301151	9.27084325156157	2.27084885558084	4.08254526882207	4.45451314810105e-05	0.0357592443126381
Cluster-80718.42986_A0.TRINITY_DN6027_c0_g1_i3	44.1474609230942	23.8032121903007	2.95250662363463	8.06203515337019	7.50346148467212e-16	6.16524119788521e-12
Cluster-80718.43297_A1.NODE_37089_length_4161_cov_517.815584_g122_i20	10.0712500575181	-3.29624704013253	0.755714159942353	-4.36176429509271	1.29017821042143e-05	0.0124285091455087
Cluster-80718.43427_A1.NODE_263554_length_522_cov_272.903297_g184330_i0	6.43388440753166	6.30890237801998	1.19139110098781	5.29540834474015	1.18750745185508e-07	0.000188491168616556
Cluster-80718.44386_A0.TRINITY_DN15920_c0_g1_i39	5.00348267327053	-5.65568284738265	1.14166690966491	-4.95388173161876	7.27474325472507e-07	0.000996219031924757
Cluster-80718.44614_A0.TRINITY_DN23434_c0_g1_i22	7.82737314392421	6.58238665348763	1.08932634266819	6.04262138503396	1.51630190991697e-09	3.2584394935248e-06
Cluster-80718.45397_A0.TRINITY_DN121_c0_g1_i219	32.7567909496211	-22.3921020513956	2.94573874966591	-7.60152340526979	2.92664825834591e-14	8.1759431074803e-11
Cluster-80718.46248_A1.NODE_9917_length_8048_cov_254.025937_g4026_i2	92.9136589309752	1.29349117331297	0.304305825408457	4.25062902288107	2.13170994973816e-05	0.0193350245122971
Cluster-80718.46550_A0.TRINITY_DN1343_c0_g1_i45	181.231657950473	11.1177902930994	1.766776645565	6.29269711086995	3.11996762109574e-10	6.91746344892499e-07
Cluster-80718.46771_A0.TRINITY_DN60955_c1_g2_i1	27.4720590383412	-22.1502104720643	2.93593810058432	-7.54450867600237	4.53995810786591e-14	1.2195113239708e-10
Cluster-80718.47228_A1.NODE_42680_length_3756_cov_370.912442_g3270_i34	99.2340304679822	-23.4882939223512	3.02649857789551	-7.76088054159402	8.43417321128373e-15	2.94523437081331e-11
Cluster-80718.47414_A0.TRINITY_DN33_c3_g1_i7	35.3975790050514	8.76230274600842	1.68603848724874	5.1969767073981	2.02555731856261e-07	0.00030099135299377
Cluster-80718.47639_A1.NODE_105867_length_1525_cov_36.558299_g13593_i1	7.8690647595762	6.59535540141122	1.65908554566895	3.97529555882662	7.02919053543973e-05	0.0486367764574471
Cluster-80718.47802_A0.TRINITY_DN4158_c0_g1_i10	6.48367101596522	-6.0489495843521	1.46101894273054	-4.1402266647187	3.46962814159303e-05	0.0297325845672304
Cluster-80718.48234_A1.NODE_15486_length_6718_cov_420.509698_g7022_i0	231.108067882198	26.0652081043433	3.02634892876993	8.61275706067959	7.13241337807438e-18	1.99252526612562e-13
Cluster-80718.48366_A0.TRINITY_DN12289_c0_g1_i1	12.4569561561285	-6.9870294607561	1.59945796795196	-4.36837328692213	1.2517540932355e-05	0.012142101631752
Cluster-80718.48474_A0.TRINITY_DN3637_c3_g1_i16	176.986602207047	-10.8166290996057	1.86930455640765	-5.78644558615568	7.1891359780571e-09	1.39470236465416e-05
Cluster-80718.48918_A1.NODE_17608_length_6333_cov_404.359719_g7820_i0	395.327730827124	-6.83368029528301	1.45766249626723	-4.68810874450199	2.75741491856626e-06	0.00320965394366878
Cluster-80718.49019_A0.TRINITY_DN5137_c2_g3_i2	97.9181727094187	-1.34134849757402	0.244189523644609	-5.49306324675177	3.95021243051911e-08	6.89712028134175e-05
Cluster-80718.49105_A1.NODE_27236_length_5059_cov_204.887019_g2754_i5	51.1216388473986	-23.014048363816	3.00824163860962	-7.65033236307868	2.00460511393657e-14	5.95755844510159e-11
Cluster-80718.49606_A0.TRINITY_DN414_c0_g1_i2	119.339052985324	10.5152276867768	1.70164296484778	6.17945591642802	6.43228915904596e-10	1.40385715941359e-06
Cluster-80718.49773_A0.TRINITY_DN3150_c0_g1_i26	42.3908147185139	23.7479022391395	2.96783496699223	8.00175970135124	1.22653571902121e-15	6.76600938926609e-12
Cluster-80718.50144_A0.TRINITY_DN6922_c0_g2_i2	73.8185376443494	-22.7671408460743	3.0266060382794	-7.5223337818414	5.38070024423485e-14	1.41807847323579e-10
Cluster-80718.50666_A1.NODE_84218_length_1999_cov_250.947723_g33347_i0	21.202392897731	1.38128148641038	0.347479462439585	3.97514568692111	7.03361863417667e-05	0.0486367764574471
Cluster-80718.50945_A1.NODE_82946_length_2034_cov_13443.057448_g32401_i1	5.72552504036569	-5.86825392575553	1.46977357566258	-3.99262445789318	6.53460155164062e-05	0.0468081886838314
Cluster-80718.51505_A0.TRINITY_DN60_c0_g1_i6	156.243809483098	1.37256001711853	0.279528690456225	4.910265257131	9.09532762755135e-07	0.00118733126948037
Cluster-80718.51584_A1.NODE_8541_length_8487_cov_622.864727_g4095_i1	16.1757010331789	-7.35849104015584	1.04305669807399	-7.05473734432977	1.72927050781501e-12	4.16459023796739e-09
Cluster-80718.52435_A1.NODE_344000_length_408_cov_1662.480938_g264605_i0	126.226215751965	-7.9553651113309	1.96958588196686	-4.03910547093613	5.36554359055794e-05	0.0409543439493292
Cluster-80718.52856_A0.TRINITY_DN2329_c0_g1_i14	4.72306795460301	-5.58181631759558	1.05150775391433	-5.30839292132349	1.10596026662969e-07	0.000179629809305933
Cluster-80718.53373_A1.NODE_112241_length_1418_cov_467.126573_g12797_i5	295.81356862046	-25.4626735193257	2.55328253743383	-9.97252483656467	2.01051731553179e-23	7.02077672876991e-19
Cluster-80718.53374_A0.TRINITY_DN5548_c0_g1_i29	18.4214278326668	-21.5927687070604	2.97879251896024	-7.24883272991349	4.20378650617249e-13	1.03015632099768e-09
Cluster-80718.53691_A0.TRINITY_DN15481_c0_g2_i4	121.537985869715	-3.64515988293062	0.862747742120322	-4.22505873382193	2.38878467631351e-05	0.0211182172387435
Cluster-80718.53844_A0.TRINITY_DN9237_c0_g1_i32	68.724765071453	-23.4256893885333	3.02663719076621	-7.73984059272165	9.95415371547125e-15	3.39123450031888e-11
Cluster-80718.54496_A1.NODE_31700_length_4611_cov_1434.664833_g7691_i6	414.261699969077	7.78592308294366	1.66795628372075	4.66794193524988	3.04231846087961e-06	0.00348323020437807
Cluster-80718.5476_A0.TRINITY_DN802_c1_g1_i14	121.997053403691	-10.2800440529922	1.7864253787528	-5.75453314493848	8.68815585765189e-09	1.66242506623654e-05
Cluster-80718.5476_A0.TRINITY_DN802_c1_g3_i8	347.233742894141	-11.7890334584732	1.83577389811849	-6.42183303213756	1.34643061606288e-10	3.03339959487547e-07
Cluster-80718.54835_A1.NODE_84230_length_1999_cov_14.207039_g27593_i1	10.545946196331	4.10896680994336	0.994159348520665	4.13310684656098	3.5789224592112e-05	0.0301149077123542
Cluster-80718.54836_A1.NODE_163267_length_889_cov_27.120438_g27593_i4	8.48894078710847	6.70658646500162	1.21958307309282	5.49908129504776	3.81775103280494e-08	6.7502187596611e-05
Cluster-80718.55309_A0.TRINITY_DN5194_c0_g1_i12	27.1103655742393	-21.7776807256935	2.91435462047131	-7.47255689912287	7.86513417037336e-14	1.99747237463986e-10
Cluster-80718.55419_A1.NODE_16607_length_6508_cov_55.721938_g7367_i1	35.9972003247602	23.532047668971	2.94231621921591	7.99779694489872	1.26665028495158e-15	6.76600938926609e-12
