baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NODE_130237_length_1264_cov_13.992481_g4176_i2	9.35613974380437	6.72576549208158	1.44485821891374	4.65496572884367	3.24034600319855e-06	0.00390766505594201
NODE_132637_length_1239_cov_75.173208_g24163_i4	8.04640267577187	6.49674394162046	1.51929540685561	4.27615584981354	1.90148133055448e-05	0.0147859396076083
NODE_13295_length_5661_cov_77.870218_g4681_i0	549.314781821376	-5.40124477760484	1.32361723905241	-4.08066971194154	4.49061276211205e-05	0.0291789354639866
NODE_133145_length_1234_cov_8.746358_g36119_i2	7.59997429332477	6.42215084390414	1.46383978680325	4.3871951710842	1.14821750163922e-05	0.010215301183044
NODE_134491_length_1220_cov_5.439722_g59148_i0	8.28111561079103	6.54564054480563	1.44053180126577	4.54390561808777	5.52213907154903e-06	0.00590831512797367
NODE_139773_length_1170_cov_5.374433_g62658_i0	7.67172886990207	-6.38694814599155	1.50096149248379	-4.25523784452488	2.08826910787295e-05	0.0157228985354195
NODE_140062_length_1167_cov_1070.802727_g444_i10	40.0872447229843	3.07378654406814	0.775747010724863	3.96235693025226	7.42134798921354e-05	0.0427556777414201
NODE_140380_length_1164_cov_386.524157_g10960_i38	106.822684434189	2.70380502730879	0.457024756044333	5.91610189940458	3.29661020058774e-09	9.02136400295839e-06
NODE_14182_length_5531_cov_305.492130_g4958_i0	93.278537880146	1.66697762759509	0.420041859336927	3.96859882066651	7.22964759362571e-05	0.0419912686620625
NODE_142841_length_1142_cov_13.503256_g64849_i0	16.3965127182408	-7.47768208051782	1.56645011131875	-4.77364840826151	1.80918116809231e-06	0.00238378045741392
NODE_144681_length_1126_cov_9.636449_g66167_i0	18.7376596096557	-5.81851043818683	1.42238697099423	-4.09066629323788	4.30135666612343e-05	0.0283373775437977
NODE_145307_length_1121_cov_5.236243_g66613_i0	18.2379951569434	-3.22178886683325	0.819249632592615	-3.93260947415686	8.40286909125246e-05	0.0468916342962477
NODE_145750_length_1117_cov_11.951429_g66936_i0	19.2825657044763	4.27656316344519	1.04369188732387	4.09753416251107	4.17574556191278e-05	0.0277669518320444
NODE_145861_length_1116_cov_13.759771_g67021_i0	24.20254960073	4.11595548530529	0.995496836346526	4.13457414933718	3.556134260681e-05	0.0244464474120371
NODE_146478_length_1111_cov_17.563218_g67462_i0	54.1559373638198	2.67491521331688	0.595450006982616	4.49225826173343	7.04718899173821e-06	0.00696404194939819
NODE_147691_length_1100_cov_94.201355_g68373_i0	79.720673429187	-2.35821465745734	0.564355562773021	-4.17859734715824	2.93312447534094e-05	0.0207205872605217
NODE_149505_length_1085_cov_6.220039_g69681_i0	10.8306820561252	-6.8835807024568	1.45504511093714	-4.730836625418	2.23596418655866e-06	0.00286648594334671
NODE_149513_length_1085_cov_4.556974_g69687_i0	16.4066972028739	-6.49898894248	1.35198151423798	-4.80701020985707	1.5320416958672e-06	0.00205670816380754
NODE_153274_length_1056_cov_28.911021_g72398_i0	36.3685567137986	2.41101761695924	0.557036211085906	4.32829602272914	1.50267412031859e-05	0.0125783547056151
NODE_153938_length_1051_cov_44.148374_g6250_i1	7.51861587740852	-6.35501842438098	1.48249336090534	-4.28670953406499	1.81339154288053e-05	0.0143359683301912
NODE_15396_length_5378_cov_80.234796_g5352_i0	56.9606231007573	-5.20881098844335	1.01235635649419	-5.14523463504646	2.67186646036862e-07	0.000487447780996045
NODE_154193_length_1049_cov_99.842159_g73046_i0	54.2116574010442	2.55863866101968	0.502696279071161	5.08983011719783	3.58384440440848e-07	0.000629610669866335
NODE_15576_length_5354_cov_31291.035937_g813_i11	1876.63972290046	-4.78741410581039	1.20706465024816	-3.96616213127123	7.30391885990311e-05	0.0422502015318322
NODE_162937_length_986_cov_12.105550_g79673_i0	14.2074606231574	7.32627233451034	1.38835765835179	5.27693443432136	1.3136285971714e-07	0.000256069401378201
NODE_16388_length_5254_cov_204.844419_g2446_i6	127.010168956243	2.28297645357436	0.577303630363524	3.95455066190522	7.66786233159377e-05	0.0438210633593624
NODE_1662_length_10135_cov_467.332837_g667_i1	105.817767909422	3.32605551833566	0.76092753164796	4.37105424629904	1.23648065835311e-05	0.0107946278628408
NODE_167282_length_957_cov_53.819101_g26753_i1	15.1937797546372	-4.4925252313555	1.04197424078212	-4.31155114543267	1.62113264948029e-05	0.0131073180200963
NODE_168361_length_950_cov_6.625142_g83994_i0	14.7078935699353	5.47862612887247	1.36538260125806	4.01252083029655	6.00737761326621e-05	0.0365293359981099
NODE_169845_length_940_cov_870.320733_g85182_i0	621.233645524009	-5.334742042155	1.35387897476781	-3.94033893839729	8.13665651192948e-05	0.045584817256066
NODE_17004_length_5183_cov_362.536552_g3371_i6	151.181397287275	2.04286864505472	0.48797827668424	4.18639259709631	2.83422950895671e-05	0.0201656846677024
NODE_17017_length_5182_cov_43.605474_g5916_i0	147.762210097445	-6.74166171810146	1.64574675636149	-4.09641501163053	4.19597431086311e-05	0.027771690251634
NODE_17213_length_5160_cov_6.151188_g5985_i0	52.5588957627987	2.47429517598263	0.631142277601719	3.92034453053077	8.84224649423687e-05	0.048581487196
NODE_173230_length_920_cov_579.832356_g1661_i35	137.964898647306	2.01510801993188	0.471098063866237	4.27747039203296	1.89029090440613e-05	0.0147859396076083
NODE_175489_length_907_cov_17.182143_g16006_i4	11.6106519671449	7.03300872463353	1.4162065004738	4.96608984797105	6.83163135036019e-07	0.0010233136555659
NODE_176731_length_900_cov_1.707083_g90761_i0	21.6025779315318	6.95867851842699	1.46287702469855	4.75684449269477	1.9664253114075e-06	0.00256719530494127
NODE_178298_length_890_cov_18470.752126_g92054_i0	113.068210263915	1.29886225730402	0.319494346678048	4.06536851374361	4.79566254252189e-05	0.0308790758128238
NODE_178708_length_888_cov_35.274056_g92398_i0	27.7455264181428	-5.38818318157215	1.17076938456487	-4.60225835472691	4.17934325167066e-06	0.00472003749250783
NODE_183076_length_864_cov_9.702635_g65208_i2	22.8116760961873	-6.9840557238286	1.57004332820834	-4.44832037329725	8.65443802482676e-06	0.008155862154774
NODE_185360_length_851_cov_136.528061_g97973_i0	124.298312266386	3.30160434233049	0.592671381345558	5.57071666736256	2.53693605136857e-08	5.73029423882221e-05
NODE_188123_length_837_cov_7.680519_g100322_i0	8.87011916330977	6.63846448859482	1.51101952741149	4.39336776803083	1.11608085299922e-05	0.0100518621178887
NODE_190550_length_825_cov_302.521108_g102384_i0	7.46813895510829	6.39609916142496	1.48217473629921	4.31534757999933	1.59351971406856e-05	0.0129576827903812
NODE_191828_length_819_cov_125.304521_g103460_i0	8.79576192516071	6.63520589798604	1.4630118698679	4.53530558066158	5.75201430223706e-06	0.00598450742417166
NODE_192477_length_816_cov_103.877170_g104027_i0	41.3954525322683	6.00784757466181	0.881205360844171	6.8177610368898	9.247028431458e-12	4.11206685257783e-08
NODE_193874_length_809_cov_1647.048518_g12169_i1	42.5274742139282	4.01271051447943	0.683304849911142	5.87250407340333	4.29261156539984e-09	1.11062348794175e-05
NODE_194983_length_804_cov_4.480326_g106220_i0	16.7575970739322	-6.53790322544997	1.53497129377233	-4.25929999601652	2.05068094011469e-05	0.0156050239817786
NODE_195171_length_803_cov_17.020380_g106367_i0	23.269119081737	5.58273210663137	1.21133277560622	4.6087517972404	4.05093572177356e-06	0.00461161763315279
NODE_1974_length_9706_cov_71.406370_g823_i0	259.915000468338	6.64725989329235	1.49664076976843	4.44145317137181	8.935339387798e-06	0.00836518243567792
NODE_1993_length_9684_cov_10.587397_g829_i0	132.001457356651	-3.50248219514191	0.711913371187874	-4.91981515854632	8.66259804813013e-07	0.00124514784327976
NODE_204190_length_764_cov_26.114778_g114296_i0	41.2633655265295	5.62831909591966	1.13817687875378	4.94503025055496	7.61320412791585e-07	0.00112850683396516
NODE_204877_length_761_cov_1268.874640_g114908_i0	24.5275574501401	3.54209050107342	0.867873620242663	4.08134366393465	4.47760911041684e-05	0.0291789354639866
NODE_20611_length_4783_cov_13.583121_g7123_i0	86.5644358399314	-6.70854954749677	0.782469968977355	-8.5735552972908	1.00338319565619e-17	8.39896659559241e-14
NODE_207585_length_750_cov_636.275256_g117317_i0	88.492515656913	6.76611597343601	0.743156206933344	9.10456766735029	8.66106952032819e-20	8.2349061534985e-16
NODE_209494_length_743_cov_2.261834_g119018_i0	22.849950632694	2.81836012480177	0.679211733405153	4.14945735797619	3.33264360353391e-05	0.0231335862159258
NODE_210540_length_739_cov_1.302083_g119940_i0	13.9760309249342	7.30249023161576	1.62187224646757	4.50250643817388	6.71567198192771e-06	0.00672990731479081
NODE_210823_length_737_cov_59.840299_g99297_i2	30.8826964581107	5.0079554658779	1.14527044069545	4.37272742570469	1.22703885366573e-05	0.0107783244392276
NODE_2132_length_9518_cov_26.117554_g139_i1	16.7151613820117	-4.01643628358625	1.00552891125143	-3.99435186660878	6.48714642543082e-05	0.0389505241976891
NODE_21652_length_4684_cov_146.332034_g7476_i0	15.0347579693461	-7.35247523794246	1.44091527171903	-5.10264231509662	3.34943692131191e-07	0.000603326864986842
NODE_23243_length_4541_cov_166.134555_g4675_i9	38.6171739349818	-4.83939865320289	0.795321054344744	-6.0848365911676	1.16610180337872e-09	3.68749894939102e-06
NODE_23244_length_4541_cov_158.978543_g4872_i1	186.824891757215	-2.96801424861774	0.731731128037641	-4.05615414582317	4.9887342414815e-05	0.0318341646321551
NODE_23669_length_4504_cov_167.359928_g4675_i10	27.5198826424622	8.27640798113219	1.29383357680299	6.39681032361431	1.58656207653193e-10	5.94129921190975e-07
NODE_24855_length_4398_cov_390.492034_g6165_i1	40.7759306675844	4.4408598014915	0.670517235242789	6.62303602066769	3.51895225560876e-11	1.47279536742759e-07
NODE_248998_length_617_cov_6.432727_g155613_i0	17.607740284498	6.65738046646979	1.31534684237739	5.06131177875264	4.16381669727043e-07	0.000681052045791126
NODE_251_length_14426_cov_22.648165_g120_i0	433.911857054891	-3.58284143242424	0.368076787766479	-9.73395104365375	2.16034992881218e-22	3.41577728022113e-18
NODE_25561_length_4341_cov_83.684839_g105_i44	66.86156612985	-3.11931277267008	0.613623126898773	-5.08343417308106	3.70671078929005e-07	0.000643254453691175
NODE_255785_length_600_cov_5.103189_g162110_i0	12.4750620505679	7.13824528861212	1.3699313049686	5.21065929563214	1.88170734293908e-07	0.000352327416588913
NODE_256498_length_598_cov_437.745763_g162801_i0	52.0030698344771	-6.70397110577835	0.941711707459858	-7.1189208466585	1.08775351941456e-12	5.52815762736471e-09
NODE_26033_length_4301_cov_50.876949_g7953_i1	60.9605765785377	-8.4085119767132	2.07015657213301	-4.06177585304545	4.87008264349437e-05	0.0312170103717069
NODE_262912_length_583_cov_17.426357_g169009_i0	11.7858476629404	-7.0042042794473	1.64503791751256	-4.25777679947844	2.06469936094774e-05	0.015628126795863
NODE_266515_length_575_cov_2.647638_g172500_i0	22.5207932024771	-4.75996016752895	1.11893003435693	-4.25402842123599	2.09958634793359e-05	0.015724907205121
NODE_268852_length_570_cov_2.600398_g174769_i0	18.100926267672	-7.619904257194	1.33694430814003	-5.69949264961897	1.20164505363842e-08	2.80320152094755e-05
NODE_27170_length_4214_cov_251.968893_g9396_i0	7.85337935925397	6.46424625874561	1.47614509278402	4.37914016064233	1.19148484982392e-05	0.0105310239512294
NODE_278053_length_551_cov_1.150826_g183741_i0	10.2822227682023	6.85772231346657	1.42413211295986	4.81536948086491	1.46927773436211e-06	0.00199123515121393
NODE_28585_length_4116_cov_76.660163_g9865_i0	454.575394890245	9.19559764004453	2.07990536023754	4.42116156621393	9.81717324951302e-06	0.00901286174567066
NODE_28687_length_4108_cov_3558.481811_g3800_i2	6050.17831649019	-29.4825810440266	3.90677177790992	-7.54653271806919	4.4699882366828e-14	2.65034915028416e-10
NODE_287595_length_532_cov_2.404301_g193088_i0	12.0129613030982	7.07674460268529	1.54077297744246	4.59298333128351	4.3695397644548e-06	0.00489598329150932
NODE_28782_length_4102_cov_287.267906_g2043_i30	180.748928192036	-2.52556707228992	0.590521138056554	-4.27684448452047	1.89561127976102e-05	0.0147859396076083
NODE_290325_length_527_cov_2.150000_g195765_i0	19.3532871802661	-5.82286668357356	1.43089321444316	-4.06939289724676	4.71358015802338e-05	0.030488507730313
NODE_29413_length_4066_cov_9.014754_g10122_i0	45.8814162413508	6.1442934708005	0.900267955215077	6.82496076330142	8.79493500112958e-12	4.03718724385723e-08
NODE_2960_length_8817_cov_610.497829_g1186_i0	1347.58056211064	4.99497032022826	1.21596515780127	4.10782355742846	3.99405032119679e-05	0.0267199167998055
NODE_2981_length_8799_cov_18.940220_g1200_i0	158.438042404353	-3.69009829105727	0.476117940805605	-7.75038698355605	9.16129241556072e-15	5.66809161750742e-11
NODE_298524_length_512_cov_223.561798_g203849_i0	91.7970987728053	2.73377091873289	0.58263882583497	4.69205071394817	2.70480054602868e-06	0.00337627914474059
NODE_29911_length_4031_cov_558.993189_g1232_i4	22.0847961202343	4.0234458132681	0.773032943670079	5.20475336298896	1.94254427450543e-07	0.000358994795852464
NODE_305548_length_501_cov_1.873272_g210786_i0	23.2705737250806	-3.5603494395965	0.79838923610646	-4.45941563160271	8.21834151567475e-06	0.00779652144014688
NODE_30788_length_3972_cov_5.557490_g10567_i0	29.403039356471	-4.25330781043608	1.05441592572527	-4.03380459898734	5.48809599358225e-05	0.0339548499122934
NODE_308284_length_496_cov_191.967366_g213494_i0	25.8787663108151	-4.38692909132448	1.05999426832835	-4.13863472888661	3.49378681225762e-05	0.0241344348141297
NODE_308984_length_495_cov_14.764019_g214182_i0	28.1188545989358	-8.25549840720367	1.30667250380361	-6.3179552513523	2.65046731189656e-10	9.42910372375481e-07
NODE_310997_length_492_cov_46.868235_g216181_i0	47.7548802528134	-4.24160649846024	0.945502331579779	-4.48608782526555	7.25428486832191e-06	0.00708387328886254
NODE_31473_length_3924_cov_14.609541_g10788_i0	72.9553059444563	-3.92432479503898	0.611874559908091	-6.41360999814806	1.42113489075193e-10	5.61746989135805e-07
NODE_31699_length_3909_cov_20.660073_g10863_i0	68.0595314832047	-1.64878670716387	0.421014076925498	-3.91622702785693	8.99455519084595e-05	0.0492282383927912
NODE_319806_length_479_cov_13.997573_g224921_i0	40.511551615447	-3.12034669201436	0.667756650189047	-4.67287999472708	2.97005320230611e-06	0.00361232086103728
NODE_32046_length_3885_cov_15.383709_g8095_i1	13.5017943285279	-3.96983772987658	0.966342666119466	-4.10810561207881	3.98917691450344e-05	0.0267199167998055
NODE_32179_length_3875_cov_383.515494_g11019_i0	532.595031787204	6.72570077804173	0.462000876537958	14.5577662718766	5.21336186593193e-48	3.7093330344199e-43
NODE_3253_length_8591_cov_19.097959_g1304_i0	213.260124109654	-4.65488859522323	0.429063007671172	-10.8489627677031	2.01701210593065e-27	4.1003262812291e-23
NODE_32727_length_3841_cov_235.909910_g0_i78	34.705539964824	-8.56160866903356	2.05783718090228	-4.16048886106704	3.17567106064798e-05	0.02215201801967
NODE_339159_length_453_cov_1.629534_g244181_i0	10.9685917877835	6.95446784910467	1.59775540195123	4.35264862231832	1.34502630980346e-05	0.0115300354765869
NODE_344064_length_446_cov_5109.226913_g249073_i0	9.69599121443425	-6.72067740466889	1.48096964020733	-4.53802510342347	5.67835021212767e-06	0.00598450742417166
NODE_345358_length_445_cov_2.082011_g250358_i0	6.29123324790842	6.14496561399748	1.54144032323917	3.98650893022217	6.70526051701198e-05	0.0397568865346384
NODE_34558_length_3727_cov_67.297541_g11837_i0	91.5541785422717	-9.95968209816285	1.25017913064245	-7.9666040282121	1.63094199534097e-15	1.16042338439507e-11
NODE_349031_length_441_cov_1.184492_g254021_i0	8.14733580725561	6.52387225220736	1.61436021110806	4.04115030048315	5.3189653006697e-05	0.0331319229910232
NODE_35309_length_3681_cov_17.055617_g12080_i0	72.3593370118755	4.94395648636084	0.853019387689197	5.7958313230768	6.79835673806023e-09	1.66795338307364e-05
NODE_359807_length_428_cov_921.249307_g264768_i0	123.797504521705	-2.61163795264898	0.619985003424275	-4.21242116861616	2.52647900869569e-05	0.0181576004755761
NODE_361748_length_426_cov_12.077994_g266707_i0	22.0925959979476	7.96334802101757	1.34985418184924	5.89941352784351	3.64795898287619e-09	9.79449455136348e-06
NODE_362932_length_425_cov_2.762570_g267888_i0	21.5480964420468	-4.57009186278631	1.09415127295912	-4.17683731283934	2.95590277923971e-05	0.0207205872605217
NODE_36374_length_3622_cov_69.477918_g19_i12	189.621735219607	7.22212426027001	1.59650248916268	4.523716254309	6.07631733984712e-06	0.00614455597040963
NODE_364092_length_424_cov_2.086835_g269047_i0	5.95334754713907	6.06498213207759	1.54511653673137	3.92525870243277	8.66365776068061e-05	0.0477847737597912
NODE_36516_length_3615_cov_26.269448_g12500_i0	33.2735891550144	5.33897582293902	0.882785862138505	6.04787191539929	1.46771564501046e-09	4.54037834783987e-06
NODE_3696_length_8345_cov_16.912539_g1464_i0	113.199686556694	-2.48182646790729	0.585314809246182	-4.24015662802654	2.23363874802506e-05	0.0164578202122652
NODE_37120_length_3581_cov_13.060330_g12552_i1	19.4148067242681	4.48149310070983	0.979017160871247	4.57754294799252	4.70469219667611e-06	0.0052303312834313
NODE_37178_length_3578_cov_17.092851_g12717_i0	58.5747634908342	-4.422662890272	0.898097299844832	-4.92448077845922	8.45846422692477e-07	0.00122821216117921
NODE_37953_length_3535_cov_27.084487_g820_i6	107.410963462279	2.79736733235582	0.623823436256124	4.48422930235551	7.3177937854463e-06	0.00708387328886254
NODE_381471_length_406_cov_19.029499_g286406_i0	41.2984550828833	-3.42236710691595	0.780093275068089	-4.38712550959657	1.14858517458559e-05	0.010215301183044
NODE_38234_length_3521_cov_94.963231_g9791_i2	343.023179928157	1.96972488615833	0.461586756234786	4.26729073040481	1.97861231443215e-05	0.0152193789705951
NODE_38923_length_3487_cov_50.115205_g12671_i1	178.435068306931	-1.37416366319968	0.326177243274014	-4.21293542555718	2.52073146358539e-05	0.0181576004755761
NODE_38926_length_3487_cov_24.457018_g13288_i0	73.4993678927965	-3.55941924595664	0.441404589297995	-8.06384739138644	7.393004024804e-16	5.53700981965071e-12
NODE_39007_length_3483_cov_6.333724_g13323_i0	27.7924556596726	-5.80292892768593	1.24969698149503	-4.64346878772468	3.4260777094668e-06	0.00402920895979202
NODE_39352_length_3468_cov_10.638636_g13432_i0	32.6623075036824	-2.23658687315194	0.515463630050996	-4.33898095376907	1.43144926471149e-05	0.0121248012986732
NODE_39536_length_3459_cov_5.675118_g13508_i0	27.4214912261819	-3.34813577194861	0.712181845835835	-4.70123717913527	2.58589941727716e-06	0.0032855006515889
NODE_397472_length_392_cov_13.396923_g302395_i0	61.4842994369749	2.99175773261739	0.467472366627508	6.39986006916487	1.55519412959124e-10	5.94129921190975e-07
NODE_40060_length_3432_cov_13.846954_g13681_i0	93.7627950149323	4.04364350982854	0.72130297587277	5.60602637877068	2.07024423935351e-08	4.7515778307136e-05
NODE_401269_length_389_cov_3.375776_g306190_i0	23.766501197311	-4.22349461179058	0.85560078474812	-4.93629118518625	7.96222016521777e-07	0.00116807411518624
NODE_401640_length_389_cov_2.015528_g306561_i0	21.1742555629743	-5.36428807256021	1.28402968423744	-4.17769786665481	2.94474459505555e-05	0.0207205872605217
NODE_409781_length_382_cov_10.974603_g314696_i0	6.6235462824824	-6.17042429348584	1.50223062926944	-4.10750797731146	3.99950968605883e-05	0.0267199167998055
NODE_41250_length_3371_cov_9.264528_g14087_i0	39.5163934094073	7.83471978092255	1.42184944409187	5.510231630696	3.58361801835376e-08	7.96800668171497e-05
NODE_416109_length_378_cov_1.067524_g321021_i0	7.14225756661558	-6.27850791648361	1.48068807698129	-4.24026370853456	2.23257343500783e-05	0.0164578202122652
NODE_41630_length_3353_cov_7.644248_g14073_i1	23.2649421745564	-7.98169064969937	1.36096641076353	-5.86472273420875	4.49883818600681e-09	1.14319495126242e-05
NODE_428040_length_369_cov_1.923841_g332946_i0	14.2751212808679	-4.80848198515758	1.06304809647585	-4.52329673614804	6.08837880146843e-06	0.00614455597040963
NODE_43505_length_3264_cov_983.341883_g8581_i3	11.4859572201928	-6.96182735800503	1.46537004368896	-4.75090055784078	2.02512710933806e-06	0.00261979647987196
NODE_43767_length_3253_cov_886.967671_g4027_i2	1438.38190855949	2.13837974648065	0.345882982101611	6.18237917774298	6.31426352437812e-10	2.04210457677848e-06
NODE_45424_length_3182_cov_200.108507_g3891_i3	10.6328342736504	-6.8560228801849	1.40518606646339	-4.87908544200151	1.06578888929627e-06	0.00148689043858578
NODE_4583_length_7911_cov_28.712902_g1756_i0	221.042289790271	-2.47696375231186	0.620796723347711	-3.98997555746521	6.60801045466058e-05	0.0393442048413663
NODE_47219_length_3110_cov_5.566546_g16103_i0	23.3760083721682	-3.77498227786016	0.866734326917434	-4.35540875747473	1.32818833829819e-05	0.0114764709583009
